,schedule_season,schedule_week,team_home,score_home,score_away,team_away,team_favorite_id,favorite_win,home_win
475,2014,15,LAR,6,12,ARI,LAR,0,0
476,2014,15,ATL,20,27,PIT,PIT,1,0
477,2014,15,BAL,20,12,JAX,BAL,1,1
478,2014,15,BUF,21,13,GB,GB,0,1
479,2014,15,CAR,19,17,TB,CAR,1,1
480,2014,15,CLE,0,30,CIN,CLE,0,0
481,2014,15,DET,16,14,MIN,DET,1,1
482,2014,15,IND,17,10,HOU,IND,1,1
483,2014,15,KC,31,13,LVR,KC,1,1
484,2014,15,NE,41,13,MIA,NE,1,1
485,2014,15,NYG,24,13,WAS,NYG,1,1
486,2014,15,PHI,27,38,DAL,PHI,0,0
487,2014,15,LAC,10,22,DEN,DEN,1,0
488,2014,15,SEA,17,7,SF,SEA,1,1
489,2014,15,TEN,11,16,NYJ,NYJ,1,0
490,2014,15,CHI,15,31,NO,NO,1,0
491,2014,16,JAX,21,13,TEN,JAX,1,1
492,2014,16,SF,35,38,LAC,SF,0,0
493,2014,16,WAS,27,24,PHI,PHI,0,1
494,2014,16,ARI,6,35,SEA,SEA,1,0
495,2014,16,CAR,17,13,CLE,CAR,1,1
496,2014,16,CHI,14,20,DET,DET,1,0
497,2014,16,DAL,42,7,IND,DAL,1,1
498,2014,16,HOU,25,13,BAL,BAL,0,1
499,2014,16,MIA,37,35,MIN,MIA,1,1
500,2014,16,NO,14,30,ATL,NO,0,0
501,2014,16,NYJ,16,17,NE,NE,1,0
502,2014,16,LVR,26,24,BUF,BUF,0,1
503,2014,16,PIT,20,12,KC,PIT,1,1
504,2014,16,LAR,27,37,NYG,LAR,0,0
505,2014,16,TB,3,20,GB,GB,1,0
506,2014,16,CIN,37,28,DEN,DEN,0,1
507,2014,17,ATL,3,34,CAR,ATL,0,0
508,2014,17,BAL,20,10,CLE,BAL,1,1
509,2014,17,DEN,47,14,LVR,DEN,1,1
510,2014,17,GB,30,20,DET,GB,1,1
511,2014,17,HOU,23,17,JAX,HOU,1,1
512,2014,17,KC,19,7,LAC,KC,1,1
513,2014,17,MIA,24,37,NYJ,MIA,0,0
514,2014,17,MIN,13,9,CHI,MIN,1,1
515,2014,17,NE,9,17,BUF,NE,0,0
516,2014,17,NYG,26,34,PHI,PHI,1,0
517,2014,17,PIT,27,17,CIN,PIT,1,1
518,2014,17,SF,20,17,ARI,SF,1,1
519,2014,17,SEA,20,6,LAR,SEA,1,1
520,2014,17,TB,20,23,NO,NO,1,0
